ID,Weight,Length,Width,Height,UOM Code,Fit ratio
3513,74,54,54,96,EA,100
3514,640,100,100,192,EA,100
3515,74,54,54,96,EA,100
3516,314,100,100,120,EA,100
3928,252,350,235,25,EA,100
3518,186,60,60,106,EA,100
3519,640,100,100,192,EA,100
3520,186,60,60,106,EA,100
3521,640,100,100,192,EA,100
3522,2435,315,245,145,EA,99
3576,276,50,50,210,EA,100
3581,17,150,150,1,EA,100
3586,17,150,150,1,EA,100
3637,2642,315,245,145,EA,100
3929,257,350,250,20,EA,100
3931,643,100,100,192,EA,100
4247,10,60,55,6,EA,100
4250,10,210,150,2,EA,100
4251,8,210,99,1,EA,100
4252,10,210,150,2,EA,100
4253,10,210,150,2,EA,100
4254,10,210,150,2,EA,100
4255,10,210,150,2,EA,100
4256,10,210,150,2,EA,100
4257,10,210,150,2,EA,100
4258,10,210,150,2,EA,100
4259,8,210,99,1,EA,100
4260,8,210,99,1,EA,100
4261,8,210,99,1,EA,100
4262,645,100,100,190,EA,100
4263,642,100,100,192,EA,100
4264,642,100,100,192,EA,100
4265,642,100,100,192,EA,100
4266,642,100,100,192,EA,100
4267,633,100,100,192,EA,100
4269,202,250,110,115,EA,100
4271,1,90,60,1,EA,100
4272,677,100,100,190,EA,100
4273,677,100,100,190,EA,100
4274,677,100,100,190,EA,100
4275,677,100,100,190,EA,100
4276,677,100,100,190,EA,100
4277,677,100,100,190,EA,100
4278,4,290,180,1,EA,100
4279,120,300,230,10,EA,100
4280,133,290,230,10,EA,100
4281,154,163,243,38,EA,100
4282,160,350,245,20,EA,100
4283,100,300,230,10,EA,100
4284,100,330,240,10,EA,100
4285,112,340,240,10,EA,100
4286,120,350,240,10,EA,100
4287,125,290,210,20,EA,100
4288,124,210,150,3,EA,100
4289,17,297,210,1,EA,100
4290,17,297,210,1,EA,100
4291,20,80,40,1,EA,100
4292,20,80,40,1,EA,100
4293,20,80,40,1,EA,100
4294,20,80,40,1,EA,100
4295,5,310,235,1,EA,100
4296,5,300,210,1,EA,100
4297,12,30,25,5,EA,100
4298,8,100,100,10,EA,100
4299,907,280,215,15,EA,100
4300,123,190,210,1,EA,100
4301,278,280,205,30,EA,100
4302,15,45,20,1,EA,100
4303,190,210,150,5,EA,100
4304,248,280,205,30,EA,100
4305,1493,360,290,100,EA,100
3379,15,300,240,3,EA,100
3380,15,300,240,3,EA,100
3382,15,300,240,3,EA,100
3383,15,300,240,3,EA,100
3384,15,300,240,3,EA,100
3495,526,300,200,10,EA,100
3454,66,65,37,121,EA,100
3458,2887,315,245,145,EA,100
3493,486,300,200,10,EA,100
3496,345,300,200,10,EA,100
3497,358,300,200,10,EA,100
3498,405,300,200,10,EA,100
3499,431,300,200,10,EA,100
3524,310,50,50,160,EA,100
3526,74,54,54,96,EA,100
3527,640,100,100,192,EA,100
3528,640,100,100,192,EA,100
3529,76,55,55,96,EA,100
3532,132,50,50,90,EA,100
3533,132,50,50,90,EA,100
3534,355,280,220,14,EA,100
3535,740,280,220,14,EA,100
3536,635,300,210,10,EA,100
3537,504,280,220,14,EA,100
3540,299,280,205,30,EA,100
3541,220,280,205,30,EA,100
3546,1007,315,245,145,EA,100
3560,274,300,200,10,EA,100
3566,274,300,200,10,EA,100
3580,17,150,150,1,EA,100
3582,17,150,150,1,EA,100
3587,17,150,150,1,EA,100
4185,10,210,300,1,EA,100
3772,10,150,150,1,EA,100
3773,10,150,150,1,EA,100
3774,10,150,150,1,EA,100
3776,11,150,150,1,EA,100
3791,474,168,228,101,EA,100
3794,573,189,273,83,EA,100
3795,386,350,320,30,EA,100
3796,413,146,235,99,EA,100
4219,282,300,270,20,EA,100
4220,257,300,270,20,EA,100
4221,240,200,270,20,EA,100
4222,301,300,270,20,EA,100
4223,274,300,270,20,EA,100
4224,257,300,270,20,EA,100
4225,233,300,270,20,EA,100
4226,284,300,270,20,EA,100
4227,213,300,270,20,EA,100
4228,189,300,270,20,EA,100
4229,173,300,270,20,EA,100
4230,230,300,270,20,EA,100
4231,207,300,270,20,EA,100
4232,188,300,270,20,EA,100
4233,174,300,270,20,EA,100
4234,224,300,270,20,EA,100
4235,206,300,270,20,EA,100
4236,187,300,270,20,EA,100
4237,170,300,270,20,EA,100
4238,225,300,270,20,EA,100
4239,211,300,270,20,EA,100
4240,215,300,270,20,EA,100
4241,180,300,270,20,EA,100
4242,237,300,270,20,EA,100
4243,207,300,270,20,EA,100
4244,189,300,270,20,EA,100
4245,173,300,270,20,EA,100
4246,228,300,270,20,EA,100
4268,637,100,100,192,EA,100
4306,182,100,100,200,EA,100
4307,292,280,205,30,EA,100
4308,95,400,330,10,EA,100
4309,10,210,150,1,EA,100
4310,322,173,283,81,EA,100
4311,327,340,300,30,EA,100
4312,343,380,290,40,EA,100
4313,365,181,294,71,EA,100
4314,174,141,225,53,EA,100
4315,191,143,217,58,EA,100
4316,200,360,320,20,EA,100
4317,230,133,245,63,EA,100
4318,162,230,250,30,EA,100
4319,200,250,220,20,EA,100
4320,184,250,220,20,EA,100
3356,21,60,60,10,EA,100
3357,20,60,50,15,EA,100
3366,537,62,62,204,EA,100
3419,185,160,100,100,EA,100
3463,250,125,55,55,EA,100
3485,11,55,55,6,EA,100
3622,330,210,140,30,EA,100
3623,387,210,140,30,EA,100
3626,376,210,140,30,EA,100
3627,376,210,140,30,EA,100
3906,278,400,320,20,EA,100
3907,264,400,320,20,EA,100
3908,251,400,320,20,EA,100
3909,290,400,320,20,EA,100
3934,1316,290,210,20,EA,100
3935,1350,290,210,20,EA,100
3936,1350,290,210,20,EA,100
3937,115,290,210,20,EA,100
3938,1355,290,210,20,EA,100
3939,1350,290,210,20,EA,100
3940,1370,290,210,20,EA,100
3941,725,290,210,20,EA,100
3942,1353,290,210,20,EA,100
3943,1363,290,210,20,EA,100
3944,1350,290,210,20,EA,100
3945,1353,300,225,25,EA,100
3946,535,300,210,70,EA,100
3947,644,325,265,56,EA,100
3948,267,400,320,20,EA,100
3949,255,400,320,20,EA,100
3950,244,400,320,20,EA,100
3951,280,400,320,20,EA,100
3952,278,400,320,20,EA,100
3953,308,400,320,20,EA,100
3954,244,400,320,20,EA,100
3955,280,400,320,20,EA,100
3956,440,413,294,101,EA,100
3957,401,279,372,109,EA,100
3958,389,200,320,40,EA,100
3959,455,405,286,111,EA,100
3960,433,413,294,101,EA,100
3961,408,279,372,109,EA,100
3962,384,371,255,101,EA,100
3963,463,405,286,111,EA,100
3964,218,400,320,20,EA,100
3965,203,400,320,20,EA,100
3966,206,400,320,10,EA,100
3967,232,400,320,20,EA,100
3968,241,400,320,20,EA,100
3969,228,400,320,20,EA,100
3970,208,400,320,10,EA,100
3971,252,400,320,20,EA,100
3972,220,400,320,20,EA,100
3973,203,400,320,10,EA,100
3974,206,400,320,10,EA,100
3975,234,400,320,10,EA,100
3976,295,400,320,10,EA,100
3977,282,400,320,10,EA,100
3978,332,400,320,10,EA,100
3979,260,400,320,10,EA,100
3980,307,400,320,20,EA,100
3981,283,400,320,10,EA,100
3982,318,400,320,10,EA,100
3983,264,400,320,30,EA,100
3984,302,400,320,20,EA,100
3985,280,400,320,10,EA,100
3986,321,195,278,48,EA,100
3987,260,400,320,10,EA,100
3988,494,378,306,78,EA,100
3989,461,358,299,78,EA,100
3990,426,359,288,76,EA,100
3991,534,391,281,86,EA,100
3992,507,378,306,78,EA,100
